Medallion,Number_of_Rides,Total
89EDAF45090C74611B52AFFC3E10A69D,15151,897386.0
CC664699259C9867E735976611A82F64,12278,742013.0
155EBAC6C5A22D6CFD3518F6A0E9190C,19744,430832.0
D4CA68ECC21536DE406F3D58C7813241,18895,327915.0
19E063791B0DF5A558B8488180DDAB67,22737,320339.0
8DEB70907D00AA1D7FF5E2683240549B,21066,318405.0
C2A40A5B0F1B26BF17FD07F91CD6176C,22460,317791.0
B6585890F68EE02702F32DECDEABC2A8,23229,314619.0
DACFA6EF35923081481A22BE96339B6E,23011,313136.0
49618C1CB1B96F6884917A4FF2A849D2,20834,310865.0
20BA941F62CC07F1FA3EF3E122B1E9B2,24536,309708.0
9F1FEF916240E64AD4EC5B7883E6A435,22607,308234.0
2C159C8FCCDE50174CF6CFC07E75F1BA,21365,308154.0
8CE240F0796D072D5DCFE06A364FB5A0,22737,307403.0
6945300E90C69061B463CCDA370DE5D6,20729,306815.0
2F2F160D8428A7757500371F980468D5,22421,306558.0
E5D06DBAEF87F704EA5D8F5D584C22D4,21563,306451.0
33955A2FCAF62C6E91A11AE97D96C99A,22150,305477.0
BC9EE7F807E71ACA2AEA11CAB51604F8,21868,304664.0
F2967DBF707C06314CEB745A83332D62,20488,304240.0
6403BF98E4618E21C795C3B45A636D77,22497,302555.0
0D5598E85DBEE502394765588229FEAB,22246,302524.0
AD9A55BC575D9809295FD5916FB8215C,20671,302448.0
90A21F40DF1A7444B8FE4B2F40F21DF4,21892,302190.0
F0ADF9EF48D22422EAF501A600F29AC0,20976,300343.0
7417B824E9E41523D455BEAC98738B7D,21781,299806.0
5F0ABF86E1E40CB35F05516B07D93A14,22235,299704.0
78833E177D45E4BC520222FFBBAC5B77,21346,299036.0
FF40FB8123940D9F96D33EDA1D92A83C,20788,298996.0
8CE248163C832F44F9C6BB59A8B90707,20464,298843.0
A979CDA04CFB8BA3D3ACBA7E8D7F0661,21763,298698.0
06C961EBE7EF4D13F3AE6C005EE0F501,22624,298351.0
5711CD174E17A8E8B9C16E123795C4C1,20592,298249.0
B3C461568CC515746F5C4622DD41456C,21744,297914.0
F5BB809E7858A669C9A1E8A12A3CCF81,20939,297597.0
9E3CE7CD29323064D241163BF8DCB807,21709,297448.0
