trip_data_medallion,trip_data_pickup_datetime,trip_data_dropoff_datetime,trip_data_passenger_count,trip_data_trip_time_in_secs,trip_data_trip_distance,trip_data_pickup_longitude,trip_data_pickup_latitude,trip_data_dropoff_longitude,trip_data_dropoff_latitude,trip_fare_fare_amount,trip_fare_payment_type,trip_fare_surcharge,trip_fare_mta_tax,trip_fare_tip_amount,trip_fare_tolls_amount,trip_fare_total_amount
2F16D4F4EC656ABBB27CAF5116D33579,2013-03-20 17:54:00,2013-03-20 18:02:00,4,480,1.56,-73.985909,40.7435,-73.972229,40.76189,7.5,CRD,1,0.5,1.7,0,10.7
994C65422FA69CC1F77D6E456B6E2DCC,2013-03-20 16:26:00,2013-03-20 17:07:00,1,2460,12.63,-73.867638,40.77116,-73.778542,40.646847,40,CSH,1,0.5,0,0,41.5
4B66E548D053327919A18484F887EDF9,2013-03-23 19:17:00,2013-03-23 19:28:00,1,660,1.02,-73.988564,40.750248,-73.987473,40.759426,8,CSH,0,0.5,0,0,8.5
3A70657B346085F18123C0081817DC21,2013-03-23 19:50:00,2013-03-23 19:54:00,1,240,.81,-73.984695,40.739677,-73.984612,40.747673,5,CRD,0,0.5,1.25,0,6.75
21471D00FB16C7FC7E8E27D1081A8DA7,2013-03-20 16:00:00,2013-03-20 16:11:00,1,660,3.22,-73.965004,40.760155,-73.949455,40.762371,12,CRD,1,0.5,1.2,0,14.7
1FCD8731E0682A955190ABC34EE27B45,2013-03-20 15:03:00,2013-03-20 15:29:00,5,1560,2.64,-74.002907,40.723602,-73.985542,40.756821,16.5,CSH,0,0.5,0,0,17
F2BBF25EAEA65ED65C068F3608D97634,2013-03-20 18:14:00,2013-03-20 18:16:00,2,120,.59,-73.958534,40.783928,-73.959961,40.779366,4,CRD,1,0.5,1,0,6.5
C5A1C71D1E3E57E9425B3B6FE9BC5D67,2013-03-20 17:40:00,2013-03-20 17:47:00,1,420,1.10,-74.009789,40.711941,-74.011543,40.722755,6.5,CSH,1,0.5,0,0,8
080BF09AD2886BCA48E1021A7219FE45,2013-03-23 19:26:00,2013-03-23 19:35:00,1,540,1.27,-73.984573,40.727318,-73.999924,40.727085,7.5,CSH,0,0.5,0,0,8
89EDF25F09051F3B29AB6BA77D1FBE87,2013-03-20 17:19:00,2013-03-20 17:23:00,3,240,.58,-73.959358,40.782932,-73.962357,40.776363,4.5,CRD,1,0.5,1.1,0,7.1
67EB082BFFE72095EAF18488BEA96050,2013-03-23 19:31:00,2013-03-23 19:41:00,1,600,1.78,-73.957108,40.768326,-73.981918,40.76844,9,CRD,0,0.5,1.5,0,11
0F8F0EE14AA33E24EE9286E29A0C32FE,2013-03-23 18:05:00,2013-03-23 18:19:00,1,840,2.37,-73.996437,40.723637,-73.986885,40.750988,11,CSH,0,0.5,0,0,11.5
83D19F7D4A52B852528AB03FF71BFDC9,2013-03-23 18:54:00,2013-03-23 19:01:00,1,420,1.04,-73.985123,40.736446,-74.000771,40.739086,6.5,CRD,0,0.5,1.62,0,8.62
3E4FD506B489912AC969037C66D9AA9E,2013-03-23 18:45:00,2013-03-23 19:10:00,1,1500,5.10,-73.952545,40.780514,-74.003281,40.73262,21.5,CRD,0,0.5,2,0,24
4A345DF24ECF8D63C6E545D02B055BD3,2013-03-23 18:49:00,2013-03-23 19:37:00,6,2880,35.71,-73.783035,40.648537,-73.987434,40.768646,52,CSH,0,0.5,0,5.33,57.83
226FFD36478408BE18A570AAA1CF46C0,2013-03-23 19:24:00,2013-03-23 19:32:00,1,480,3.52,-74.005066,40.706532,-73.978287,40.734344,12,CRD,0,0.5,2.4,0,14.9
DA36057B02FD6F1FABD84F9DEC6F3A66,2013-03-20 17:44:00,2013-03-20 17:47:00,1,180,.92,-73.965675,40.762032,-73.95845,40.77282,5,CRD,1,0.5,1.5,0,8
B615508ED8B9194EE390282543D7B117,2013-03-23 19:47:00,2013-03-23 19:56:00,1,540,1.90,-74.000793,40.75246,-73.997795,40.761536,9,CRD,0,0.5,1.8,0,11.3
12B46A3AAAEAD50862647CDDCC705479,2013-03-23 19:10:00,2013-03-23 19:21:00,2,660,1.30,-73.985489,40.738396,-74.00666,40.744011,8.5,CRD,0,0.5,1.7,0,10.7
8D6E013EE49779F8B31F595F1E5F813F,2013-03-20 17:41:00,2013-03-20 17:58:00,3,1020,1.94,-73.976128,40.776108,-73.988213,40.755508,10.5,CRD,1,0.5,2.3,0,14.3
938BA39C59F92499A4FDD61A33F20D2E,2013-03-23 19:42:00,2013-03-23 19:46:00,5,240,.93,-73.964577,40.764397,-73.953613,40.767151,5.5,CRD,0,0.5,1.1,0,7.1
17A181BBBA33F2D7D45D975CD9DAF2E2,2013-03-20 17:59:00,2013-03-20 18:04:00,1,300,.82,-73.972557,40.793957,-73.977486,40.785358,5.5,CRD,1,0.5,1.62,0,8.62
EC1B8298ACA0CD0F1127DCF81213AAEF,2013-03-23 19:58:00,2013-03-23 20:05:00,1,420,.76,-73.991798,40.726158,-73.988083,40.720646,6.5,CRD,0,0.5,1.3,0,8.3
00153E36140C5B2A84EA308F355A7925,2013-03-23 20:14:00,2013-03-23 20:25:00,2,660,1.51,-73.990334,40.737087,-73.989273,40.724487,8.5,CRD,0.5,0.5,1.8,0,11.3
8A2CD6464FE17A04FEE5FF2FB6883EDA,2013-03-20 18:44:00,2013-03-20 18:51:00,1,420,.70,-73.998535,40.735134,-73.977821,40.743889,5.5,CSH,1,0.5,0,0,7
30C76FE91F78B819453A9C7EDD233DD3,2013-03-23 19:05:00,2013-03-23 19:35:00,5,1800,10.69,-73.989052,40.748108,-73.859703,40.761757,36,CRD,0,0.5,7.2,5.33,49.03
